firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender,carrier
name76,lastname76,February,2,1997,BS Communications Technology Management,+63 927 188 4940,Female,Globe
name77,lastname77,May,19,2000,BS Communications Technology Management,+63 918 961 3285,Male,Smart
name78,lastname78,September,15,2000,BS Management,+63 918 510 5817,Female,Smart
name79,lastname79,December,23,2000,BS Legal Management,+63 927 668 6229,Male,Globe
name80,lastname80,August,10,1999,BS Communications Technology Management,+63 927 229 9686,Female,Globe
name81,lastname81,February,1,1997,BS Communications Technology Management,+63 918 873 6019,Male,Smart
name82,lastname82,November,22,1997,BS Communications Technology Management,+63 918 376 7811,Male,Smart
name83,lastname83,June,18,2000,BS Management Engineering,+63 927 118 4679,Female,Globe
name84,lastname84,February,28,1999,BS IT Entrepreneurship,+63 917 236 2591,Female,Globe
name85,lastname85,January,10,1999,BS Legal Management,+63 927 128 1225,Female,Globe
name86,lastname86,November,21,1998,BS Management,+63 918 587 6655,Male,Smart
name87,lastname87,August,15,1998,BS IT Entrepreneurship,+63 918 945 8163,Female,Smart
name88,lastname88,January,26,1997,BS Management Engineering,+63 917 908 6005,Male,Globe
name89,lastname89,March,26,1998,BS IT Entrepreneurship,+63 917 367 9784,Female,Globe
name90,lastname90,March,15,1999,BS IT Entrepreneurship,+63 918 501 6913,Male,Smart
name91,lastname91,August,16,1997,BS IT Entrepreneurship,+63 918 823 1926,Female,Smart
name92,lastname92,December,8,1997,BS Management Engineering,+63 917 449 1492,Male,Globe
name93,lastname93,June,14,1998,BS IT Entrepreneurship,+63 927 196 1085,Female,Globe
name94,lastname94,November,24,1997,BS Legal Management,+63 918 768 1582,Male,Smart
name95,lastname95,September,6,2001,BS Communications Technology Management,+63 927 111 9326,Female,Globe
name96,lastname96,March,16,1999,BS Communications Technology Management,+63 917 699 1883,Male,Globe
name97,lastname97,January,19,1997,BS Management,+63 918 149 1873,Female,Smart
name98,lastname98,January,10,1998,BS IT Entrepreneurship,+63 927 615 1107,Male,Globe
name99,lastname99,May,12,1998,BS Communications Technology Management,+63 927 440 8773,Male,Globe
name100,lastname100,May,10,1999,BS Management,+63 927 787 2993,Female,Globe
name101,lastname101,April,2,1997,BS Communications Technology Management,+63 927 952 3919,Female,Globe
name102,lastname102,August,14,2001,BS Legal Management,+63 918 454 7163,Male,Smart
name103,lastname103,December,16,2000,BS Management Engineering,+63 927 148 8884,Male,Globe
name104,lastname104,July,16,2001,BS Communications Technology Management,+63 918 852 3413,Female,Smart
name105,lastname105,March,5,1999,BS IT Entrepreneurship,+63 917 502 7912,Male,Globe
name106,lastname106,August,25,1997,BS Communications Technology Management,+63 927 510 1038,Female,Globe
name107,lastname107,April,21,2001,BS Management,+63 927 958 1514,Female,Globe
name108,lastname108,May,14,1999,BS Management,+63 918 797 4867,Male,Smart
name109,lastname109,August,15,1998,BS Management Engineering,+63 917 615 3478,Female,Globe
name110,lastname110,January,8,1999,BS Management Engineering,+63 918 661 5521,Male,Smart
name111,lastname111,December,22,2001,BS Management Engineering,+63 918 401 1101,Female,Smart
name112,lastname112,May,19,1997,BS Management,+63 918 469 9048,Female,Smart
name113,lastname113,May,27,1997,BS IT Entrepreneurship,+63 917 389 5698,Female,Globe
name114,lastname114,August,22,1999,BS Communications Technology Management,+63 917 946 6274,Female,Globe
name115,lastname115,March,26,1998,BS IT Entrepreneurship,+63 917 236 8755,Male,Globe
name116,lastname116,July,19,1997,BS IT Entrepreneurship,+63 918 269 1384,Female,Smart
name117,lastname117,January,11,1997,BS Legal Management,+63 918 953 2016,Male,Smart
name118,lastname118,February,4,1999,BS Management Engineering,+63 918 752 1689,Female,Smart
name119,lastname119,December,27,1997,BS Legal Management,+63 927 259 3515,Male,Globe
name120,lastname120,February,3,1997,BS Legal Management,+63 918 732 2042,Female,Smart
name121,lastname121,March,5,2000,BS Legal Management,+63 918 137 1929,Female,Smart
name122,lastname122,March,1,2001,BS Legal Management,+63 917 898 5495,Female,Globe
name123,lastname123,April,23,1999,BS Legal Management,+63 918 479 2283,Female,Smart
name124,lastname124,February,2,1999,BS Management,+63 917 428 8800,Male,Globe
name125,lastname125,November,24,1998,BS Legal Management,+63 917 641 8280,Female,Globe
name126,lastname126,June,4,2000,BS Legal Management,+63 927 272 9008,Male,Globe
name127,lastname127,March,3,2000,BS Legal Management,+63 917 218 3720,Male,Globe
name128,lastname128,June,20,1998,BS Legal Management,+63 918 872 3714,Female,Smart
name129,lastname129,October,25,1998,BS Management Engineering,+63 927 399 5328,Male,Globe
name130,lastname130,July,18,2000,BS Management,+63 927 384 8421,Female,Globe
name131,lastname131,February,23,1999,BS Communications Technology Management,+63 927 278 9317,Female,Globe
name132,lastname132,September,10,1999,BS Legal Management,+63 927 450 3540,Male,Globe
name133,lastname133,April,18,1999,BS Communications Technology Management,+63 927 150 7228,Female,Globe
name134,lastname134,May,7,2000,BS Management,+63 918 995 5243,Female,Smart
name135,lastname135,October,3,1999,BS Communications Technology Management,+63 927 949 9628,Female,Globe
name136,lastname136,October,5,2000,BS Management,+63 927 558 1218,Male,Globe
name137,lastname137,June,5,1998,BS Management Engineering,+63 918 191 7948,Female,Smart
name138,lastname138,February,5,1997,BS IT Entrepreneurship,+63 918 636 6121,Male,Smart
name139,lastname139,April,8,1999,BS IT Entrepreneurship,+63 918 532 3276,Male,Smart
name140,lastname140,September,2,1999,BS Management Engineering,+63 927 795 1469,Male,Globe
name141,lastname141,June,8,1998,BS Legal Management,+63 927 430 8948,Male,Globe
name142,lastname142,December,3,1999,BS Legal Management,+63 918 659 4663,Female,Smart
name143,lastname143,November,15,1999,BS Management Engineering,+63 927 716 8308,Female,Globe
name144,lastname144,October,14,1998,BS Management Engineering,+63 917 855 4111,Male,Globe
name145,lastname145,February,9,2001,BS Management,+63 918 256 2335,Male,Smart
name146,lastname146,September,11,1998,BS Management,+63 927 248 8520,Male,Globe
name147,lastname147,December,6,1999,BS Legal Management,+63 917 856 9506,Male,Globe
name148,lastname148,November,13,2000,BS Legal Management,+63 927 989 2750,Female,Globe
name149,lastname149,September,18,1997,BS Management,+63 927 124 4294,Male,Globe
name150,lastname150,August,5,1997,BS Management Engineering,+63 918 162 5544,Female,Smart
name151,lastname151,May,17,1998,BS Legal Management,+63 918 469 2092,Female,Smart
name152,lastname152,March,15,1999,BS Legal Management,+63 927 145 1261,Female,Globe
name153,lastname153,November,2,1999,BS Management Engineering,+63 927 415 2246,Male,Globe
name154,lastname154,August,2,1999,BS Management,+63 918 331 9863,Female,Smart
name155,lastname155,December,14,1999,BS Legal Management,+63 918 649 2584,Female,Smart
name156,lastname156,April,3,1998,BS Management,+63 918 146 7027,Female,Smart
name157,lastname157,August,13,1997,BS Management Engineering,+63 927 475 9634,Male,Globe
name158,lastname158,January,28,1999,BS Legal Management,+63 927 594 6138,Female,Globe
name159,lastname159,October,12,1998,BS Management,+63 927 653 5975,Female,Globe
name160,lastname160,December,25,2000,BS Communications Technology Management,+63 917 137 6557,Female,Globe
name161,lastname161,January,1,2000,BS Communications Technology Management,+63 917 289 3619,Male,Globe
name162,lastname162,January,26,2000,BS Communications Technology Management,+63 917 388 6944,Male,Globe
name163,lastname163,April,17,1999,BS IT Entrepreneurship,+63 917 307 3272,Female,Globe
name164,lastname164,May,25,1997,BS IT Entrepreneurship,+63 917 925 9571,Male,Globe
name165,lastname165,August,12,1998,BS Management,+63 918 281 2519,Male,Smart
name166,lastname166,February,16,1999,BS Management Engineering,+63 918 536 9523,Female,Smart
name167,lastname167,April,4,2000,BS Management,+63 918 705 3266,Female,Smart
name168,lastname168,July,5,1997,BS Management Engineering,+63 927 511 1039,Female,Globe
name169,lastname169,April,13,1998,BS Management Engineering,+63 918 284 3059,Female,Smart
name170,lastname170,June,9,2000,BS IT Entrepreneurship,+63 927 797 7430,Female,Globe
name171,lastname171,August,17,1997,BS Legal Management,+63 918 227 4954,Female,Smart
name172,lastname172,September,24,2000,BS Communications Technology Management,+63 917 308 1448,Female,Globe
name173,lastname173,August,13,1998,BS Management Engineering,+63 917 180 6600,Female,Globe
name174,lastname174,October,19,1998,BS Management Engineering,+63 927 185 5392,Male,Globe
name175,lastname175,June,1,1999,BS Management Engineering,+63 917 492 1000,Female,Globe
name176,lastname176,June,9,1999,BS IT Entrepreneurship,+63 927 787 2528,Female,Globe
name177,lastname177,July,1,2001,BS Management Engineering,+63 927 614 7614,Male,Globe
name178,lastname178,June,12,2001,BS IT Entrepreneurship,+63 917 735 9355,Female,Globe
name179,lastname179,May,4,1998,BS Legal Management,+63 927 728 7081,Male,Globe
name180,lastname180,March,22,1999,BS IT Entrepreneurship,+63 917 257 4982,Male,Globe
name181,lastname181,March,27,1999,BS Management Engineering,+63 917 744 6240,Female,Globe
name182,lastname182,June,2,1998,BS Communications Technology Management,+63 917 502 7471,Male,Globe
name183,lastname183,June,17,1997,BS Management,+63 918 582 2278,Female,Smart
name184,lastname184,December,23,1998,BS IT Entrepreneurship,+63 927 891 4782,Female,Globe
name185,lastname185,April,18,1997,BS Management Engineering,+63 917 248 5615,Male,Globe
name186,lastname186,November,19,1997,BS Management Engineering,+63 918 859 3958,Female,Smart
name187,lastname187,April,18,2001,BS Legal Management,+63 917 575 5267,Male,Globe
name188,lastname188,September,2,1997,BS Management Engineering,+63 918 621 4437,Male,Smart
name189,lastname189,December,7,2000,BS Management,+63 918 447 8973,Female,Smart
name190,lastname190,July,6,1997,BS Management,+63 918 409 2087,Male,Smart
name191,lastname191,May,7,1999,BS Legal Management,+63 918 742 1522,Male,Smart
name192,lastname192,July,9,1999,BS IT Entrepreneurship,+63 917 222 5936,Male,Globe
name193,lastname193,May,25,1997,BS Management Engineering,+63 918 730 6896,Female,Smart
name194,lastname194,September,2,1998,BS Legal Management,+63 917 399 8033,Male,Globe
name195,lastname195,July,15,2001,BS Management Engineering,+63 917 818 9641,Female,Globe
name196,lastname196,May,6,2001,BS Management Engineering,+63 927 486 8768,Male,Globe
name197,lastname197,October,24,2001,BS Management Engineering,+63 918 708 8549,Female,Smart
name198,lastname198,June,15,1997,BS Legal Management,+63 927 642 6498,Female,Globe
name199,lastname199,January,4,1999,BS Communications Technology Management,+63 927 536 3811,Female,Globe
name200,lastname200,November,13,1998,BS Management,+63 918 621 7426,Female,Smart
name201,lastname201,October,27,1997,BS Management,+63 917 681 9326,Female,Globe
name202,lastname202,April,15,2000,BS Management,+63 918 341 5085,Female,Smart
name203,lastname203,March,25,1998,BS Management Engineering,+63 918 419 5644,Female,Smart
name204,lastname204,November,4,1997,BS IT Entrepreneurship,+63 927 383 5918,Male,Globe
name205,lastname205,March,12,2000,BS Management,+63 917 173 4981,Female,Globe
name206,lastname206,December,19,1997,BS Management Engineering,+63 917 309 4697,Female,Globe
name207,lastname207,November,27,2000,BS IT Entrepreneurship,+63 918 744 5680,Male,Smart
name208,lastname208,October,20,1999,BS Communications Technology Management,+63 918 314 3702,Male,Smart
name209,lastname209,March,16,1999,BS Communications Technology Management,+63 917 764 8372,Female,Globe
name210,lastname210,April,2,1998,BS IT Entrepreneurship,+63 927 750 7712,Female,Globe
name211,lastname211,January,26,1999,BS Management,+63 927 744 7095,Female,Globe
name212,lastname212,November,2,1999,BS Management,+63 917 600 5892,Male,Globe
name213,lastname213,August,23,1999,BS Management,+63 918 482 4436,Female,Smart
name214,lastname214,June,8,1999,BS Communications Technology Management,+63 917 229 1656,Female,Globe
name215,lastname215,November,1,1998,BS Communications Technology Management,+63 917 129 7511,Female,Globe
name216,lastname216,October,23,1999,BS Legal Management,+63 927 931 6222,Female,Globe
name217,lastname217,May,2,1998,BS Management Engineering,+63 917 510 8517,Male,Globe
name218,lastname218,April,19,2001,BS Communications Technology Management,+63 927 859 9615,Female,Globe
name219,lastname219,May,28,1997,BS IT Entrepreneurship,+63 918 883 3812,Female,Smart
name220,lastname220,March,25,2001,BS Management,+63 927 855 3696,Female,Globe
name221,lastname221,July,12,2001,BS Management Engineering,+63 917 869 1592,Male,Globe
name222,lastname222,September,5,1999,BS Legal Management,+63 927 390 2398,Male,Globe
name223,lastname223,February,9,1997,BS Management,+63 918 250 3159,Male,Smart
name224,lastname224,December,18,2001,BS Management,+63 917 914 1992,Female,Globe
name225,lastname225,February,27,1998,BS Management Engineering,+63 917 168 1549,Male,Globe
name226,lastname226,March,12,1997,BS Legal Management,+63 918 812 9824,Female,Smart
name227,lastname227,October,8,1997,BS Management,+63 918 676 3675,Female,Smart
name228,lastname228,November,16,1999,BS Management,+63 927 616 9286,Female,Globe
name229,lastname229,June,11,1999,BS Legal Management,+63 927 975 8823,Male,Globe
name230,lastname230,December,4,1997,BS Communications Technology Management,+63 917 559 2469,Female,Globe
name231,lastname231,May,22,1998,BS IT Entrepreneurship,+63 927 597 2823,Male,Globe
name232,lastname232,April,17,2000,BS Management,+63 917 418 9979,Male,Globe
name233,lastname233,June,13,2001,BS Management Engineering,+63 927 523 4422,Male,Globe
name234,lastname234,February,6,1997,BS Communications Technology Management,+63 917 911 6706,Male,Globe
name235,lastname235,July,7,1999,BS Management,+63 918 656 9527,Male,Smart
name236,lastname236,October,23,1998,BS Management,+63 917 251 3024,Male,Globe
name237,lastname237,December,14,1998,BS Legal Management,+63 927 940 8616,Male,Globe
name238,lastname238,March,4,2000,BS Communications Technology Management,+63 917 261 3868,Male,Globe
name239,lastname239,February,5,1997,BS Legal Management,+63 927 976 2990,Male,Globe
name240,lastname240,April,21,2001,BS Legal Management,+63 917 962 2388,Male,Globe
name241,lastname241,September,7,2000,BS Communications Technology Management,+63 917 560 3594,Female,Globe
name242,lastname242,June,1,1998,BS IT Entrepreneurship,+63 917 267 6749,Female,Globe
name243,lastname243,November,19,1998,BS Communications Technology Management,+63 918 388 9243,Male,Smart
name244,lastname244,January,1,2000,BS Communications Technology Management,+63 918 418 8388,Male,Smart
name245,lastname245,March,5,1999,BS Management Engineering,+63 918 387 4071,Female,Smart
name246,lastname246,January,26,1998,BS Communications Technology Management,+63 918 871 2841,Female,Smart
name247,lastname247,August,3,1998,BS Management,+63 917 242 3611,Female,Globe
name248,lastname248,March,22,1998,BS Legal Management,+63 917 213 2389,Male,Globe
name249,lastname249,December,9,2000,BS Management Engineering,+63 917 548 3044,Male,Globe
name250,lastname250,May,24,2001,BS Management Engineering,+63 927 264 6574,Female,Globe
name251,lastname251,January,9,2000,BS Communications Technology Management,+63 917 582 8763,Female,Globe
name252,lastname252,December,6,2001,BS Management,+63 927 800 6849,Male,Globe
name253,lastname253,April,18,1997,BS Management Engineering,+63 918 414 2565,Female,Smart
name254,lastname254,August,3,1997,BS Communications Technology Management,+63 917 984 6143,Female,Globe
name255,lastname255,January,6,2001,BS Management Engineering,+63 927 234 8693,Male,Globe
name256,lastname256,December,7,1997,BS Management,+63 918 944 9432,Male,Smart
name257,lastname257,April,19,1997,BS IT Entrepreneurship,+63 917 996 8937,Female,Globe
name258,lastname258,June,7,2001,BS IT Entrepreneurship,+63 917 169 7326,Female,Globe
name259,lastname259,March,20,1999,BS IT Entrepreneurship,+63 927 916 1852,Male,Globe
name260,lastname260,November,15,2000,BS Communications Technology Management,+63 917 843 5692,Male,Globe
name261,lastname261,June,4,1997,BS Legal Management,+63 918 456 7658,Male,Smart
name262,lastname262,July,26,1998,BS Communications Technology Management,+63 917 771 4152,Female,Globe
name263,lastname263,January,1,2000,BS Management,+63 917 773 4858,Male,Globe
name264,lastname264,November,1,2001,BS IT Entrepreneurship,+63 918 108 6505,Male,Smart
name265,lastname265,November,26,2001,BS Management,+63 918 332 9306,Female,Smart
name266,lastname266,December,5,1997,BS Management,+63 917 551 8922,Female,Globe
name267,lastname267,July,5,1999,BS Legal Management,+63 917 537 9153,Male,Globe
name268,lastname268,October,21,1999,BS Management Engineering,+63 927 373 9092,Female,Globe
name269,lastname269,October,18,2001,BS Legal Management,+63 918 441 7553,Female,Smart
name270,lastname270,April,24,1998,BS IT Entrepreneurship,+63 927 395 8754,Female,Globe
name271,lastname271,March,25,1997,BS Management Engineering,+63 918 351 3825,Female,Smart
name272,lastname272,July,27,1997,BS IT Entrepreneurship,+63 917 275 1598,Female,Globe
name273,lastname273,August,7,1999,BS Communications Technology Management,+63 927 511 6858,Female,Globe
name274,lastname274,January,5,1997,BS Management,+63 917 580 5437,Female,Globe
name275,lastname275,April,20,1998,BS Communications Technology Management,+63 917 418 9759,Male,Globe
name276,lastname276,January,12,2001,BS IT Entrepreneurship,+63 917 559 3566,Female,Globe
name277,lastname277,December,24,1999,BS Legal Management,+63 927 416 3898,Female,Globe
name278,lastname278,February,8,1997,BS Management,+63 917 735 6446,Female,Globe
name279,lastname279,October,12,1998,BS Legal Management,+63 927 359 4345,Female,Globe
name280,lastname280,November,15,2000,BS Management,+63 918 183 9884,Female,Smart
name281,lastname281,February,12,1997,BS Management,+63 918 541 2404,Male,Smart
name282,lastname282,March,23,1998,BS Management,+63 918 393 1948,Male,Smart
name283,lastname283,November,3,1997,BS IT Entrepreneurship,+63 918 927 3119,Female,Smart
name284,lastname284,August,13,1999,BS Communications Technology Management,+63 927 868 4707,Male,Globe
name285,lastname285,September,17,1998,BS Communications Technology Management,+63 927 419 8095,Male,Globe
name286,lastname286,December,28,1999,BS IT Entrepreneurship,+63 927 907 8179,Male,Globe
name287,lastname287,February,18,1998,BS Communications Technology Management,+63 917 992 5274,Male,Globe
name288,lastname288,April,4,2001,BS IT Entrepreneurship,+63 917 527 6893,Female,Globe
name289,lastname289,October,15,1997,BS Management Engineering,+63 917 756 9357,Male,Globe
name290,lastname290,July,8,1997,BS Management Engineering,+63 918 927 4291,Female,Smart
name291,lastname291,December,27,2000,BS Management,+63 918 974 1369,Female,Smart
name292,lastname292,January,25,1999,BS Communications Technology Management,+63 917 878 8313,Female,Globe
name293,lastname293,March,1,1999,BS Management Engineering,+63 927 608 4808,Male,Globe
name294,lastname294,January,14,1998,BS Legal Management,+63 918 983 8521,Male,Smart
name295,lastname295,November,19,1999,BS IT Entrepreneurship,+63 918 345 5057,Male,Smart
name296,lastname296,April,26,1999,BS Management,+63 927 416 2499,Male,Globe
name297,lastname297,November,10,2000,BS Legal Management,+63 917 620 1837,Female,Globe
name298,lastname298,January,8,1999,BS Management,+63 927 291 3676,Female,Globe
name299,lastname299,February,18,1998,BS Management,+63 927 348 6668,Male,Globe
name300,lastname300,May,22,1997,BS Communications Technology Management,+63 918 815 5153,Male,Smart
name301,lastname301,April,27,1999,BS Legal Management,+63 927 285 5378,Female,Globe
name302,lastname302,May,1,2001,BS Legal Management,+63 918 511 3241,Female,Smart
name303,lastname303,December,18,1997,BS Legal Management,+63 917 739 1115,Male,Globe
name304,lastname304,September,18,2000,BS Communications Technology Management,+63 918 533 7507,Male,Smart
name305,lastname305,January,15,1997,BS Management,+63 917 641 8911,Male,Globe
name306,lastname306,March,3,1998,BS Legal Management,+63 917 155 3009,Female,Globe
name307,lastname307,February,12,2000,BS IT Entrepreneurship,+63 918 386 6738,Male,Smart
name308,lastname308,December,13,1998,BS Communications Technology Management,+63 927 827 6122,Male,Globe
name309,lastname309,November,8,1998,BS Management,+63 917 132 5014,Male,Globe
name310,lastname310,August,21,1998,BS IT Entrepreneurship,+63 918 225 1879,Male,Smart
name311,lastname311,June,23,1998,BS Management Engineering,+63 918 704 4147,Male,Smart
name312,lastname312,May,16,1999,BS Management Engineering,+63 918 284 8832,Female,Smart
name313,lastname313,August,8,1997,BS IT Entrepreneurship,+63 917 379 9404,Female,Globe
name314,lastname314,July,19,1998,BS Management,+63 918 131 5008,Male,Smart
name315,lastname315,December,19,1998,BS Legal Management,+63 917 656 2606,Female,Globe
name316,lastname316,April,14,2001,BS Communications Technology Management,+63 927 212 2224,Male,Globe
name317,lastname317,September,16,1997,BS Management Engineering,+63 918 458 4727,Male,Smart
name318,lastname318,March,5,1999,BS Communications Technology Management,+63 917 462 5719,Male,Globe
name319,lastname319,August,10,2000,BS Management Engineering,+63 927 239 1604,Male,Globe
name320,lastname320,July,21,1997,BS Management,+63 917 854 8646,Male,Globe
name321,lastname321,August,26,1997,BS Communications Technology Management,+63 927 414 7766,Female,Globe
name322,lastname322,June,14,1999,BS Legal Management,+63 918 600 7855,Female,Smart
name323,lastname323,June,8,1998,BS Management,+63 917 308 8490,Male,Globe
name324,lastname324,July,21,1998,BS Management Engineering,+63 918 788 7131,Male,Smart
name325,lastname325,March,24,1998,BS Management Engineering,+63 917 557 5935,Female,Globe
name326,lastname326,February,24,2000,BS Communications Technology Management,+63 918 561 3677,Female,Smart
name327,lastname327,July,16,1997,BS IT Entrepreneurship,+63 917 604 7756,Male,Globe
name328,lastname328,June,1,1999,BS IT Entrepreneurship,+63 917 992 5461,Female,Globe
name329,lastname329,December,5,1997,BS IT Entrepreneurship,+63 918 451 8833,Female,Smart
name330,lastname330,July,3,1998,BS IT Entrepreneurship,+63 918 158 9284,Male,Smart
name331,lastname331,January,26,1998,BS Management,+63 927 146 5990,Female,Globe
name332,lastname332,April,18,1999,BS Legal Management,+63 918 299 4084,Female,Smart
name333,lastname333,June,17,2000,BS Communications Technology Management,+63 927 779 3123,Male,Globe
name334,lastname334,January,2,1998,BS Legal Management,+63 927 182 1332,Male,Globe
name335,lastname335,May,21,1999,BS Communications Technology Management,+63 918 169 5036,Female,Smart
name336,lastname336,April,11,1999,BS IT Entrepreneurship,+63 918 152 3167,Male,Smart
name337,lastname337,December,8,1998,BS Management,+63 927 503 8110,Male,Globe
name338,lastname338,September,20,2001,BS Communications Technology Management,+63 927 746 2862,Male,Globe
name339,lastname339,April,22,2000,BS IT Entrepreneurship,+63 918 233 2323,Female,Smart
